"","...1","sex","age","schooling","income","visitation","start","deslocation_time","permanence","fuel_consumption","vehicle_with_engine","distance","age_dummy","schooling_dummy","years_dummy","fuel_price","fuel_cost","travel_cost"
"1",1,"Feminino","60 anos ou mais","Doutorado","acima de 5",1,"Anapolis",120,"mais de duas horas",117,"Álcool",58.5,1,1,0,3.65,427.05,427.05
"2",2,"Masculino","19 a 35 anos","Graduacao incompleta","acima de 1 ate 3",1,"Gameleira de Goias",64,"ate meia hora",60,"Gasolina",27.5,0,0,1,5.87,352.2,352.2
"3",3,"Masculino","19 a 35 anos","Graduacao incompleta","acima de 3 ate 5",2,"Silvania",180,"mais de duas horas",15.8,"Gasolina",8,1,0,1,5.87,92.746,92.746
"4",4,"Feminino","19 a 35 anos","Graduacao incompleta","acima de 1 ate 3",1,"Silvania",180,"mais de duas horas",15.8,"Gasolina",8,0,0,1,5.87,92.746,92.746
"5",5,"Feminino","36 a 59 anos","Doutorado","acima de 5",2,"Anapolis",116,"mais de duas horas",117,"Diesel",58.5,1,1,0,6.18,723.06,723.06
"6",6,"Masculino","19 a 35 anos","Doutorado incompleto","acima de 3 ate 5",1,"Silvania",32,"mais de duas horas",15.8,"Álcool",8,1,1,1,3.65,57.67,57.67
"7",7,"Masculino","19 a 35 anos","Mestrado incompleto","acima de 1 ate 3",1,"Anapolis",116,"mais de duas horas",117,"Diesel",58.5,0,1,1,6.18,723.06,723.06
"8",8,"Masculino","19 a 35 anos","Doutorado","acima de 5",1,"Silvania",32,"mais de duas horas",15.8,"Álcool",8,1,1,1,3.65,57.67,57.67
"9",9,"Feminino","36 a 59 anos","Doutorado","acima de 5",1,"Anapolis",116,"mais de duas horas",117,"Álcool",58.5,1,1,0,3.65,427.05,427.05
"10",10,"Masculino","19 a 35 anos","Doutorado incompleto","acima de 1 ate 3",1,"Silvania",32,"mais de duas horas",15.8,"Gasolina",8,0,1,1,5.87,92.746,92.746
"11",11,"Feminino","19 a 35 anos","Mestre","acima de 1 ate 3",1,"Anapolis",116,"mais de duas horas",117,"Gasolina",58.5,0,1,1,5.87,686.79,686.79
"12",12,"Masculino","36 a 59 anos","Especializacao completa","acima de 3 ate 5",1,"Silvania",32,"mais de uma hora a duas horas",15.8,"Gasolina",8,1,1,0,5.87,92.746,92.746
"13",13,"Feminino","19 a 35 anos","Ensino completo","ate 1",1,"Silvania",32,"mais de uma hora a duas horas",15.8,"Gasolina",8,0,0,1,5.87,92.746,92.746
"14",14,"Masculino","19 a 35 anos","Ensino medio incompleto","acima de 3 ate 5",2,"Silvania",32,"mais de duas horas",15.8,"Gasolina",8,1,0,1,5.87,92.746,92.746
"15",15,"Masculino","19 a 35 anos","Graduacao incompleta","acima de 1 ate 3",2,"Silvania",68,"mais de meia hora ate uma hora",15.8,"Gasolina",8,0,0,1,5.87,92.746,92.746
"16",16,"Feminino","36 a 59 anos","Graduacao completa","acima de 1 ate 3",1,"Silvania",32,"ate meia hora",15.8,"Álcool",8,0,1,0,3.65,57.67,57.67
"17",17,"Feminino","18 anos","Ensino completo","acima de 1 ate 3",5,"Silvania",68,"mais de uma hora a duas horas",15.8,"Gasolina",8,0,0,1,5.87,92.746,92.746
"18",18,"Masculino","36 a 59 anos","Graduacao completa","acima de 1 ate 3",12,"Silvania",32,"mais de duas horas",15.8,"Gasolina",8,0,1,0,5.87,92.746,92.746
"19",19,"Feminino","19 a 35 anos","Doutorado incompleto","acima de 1 ate 3",1,"Anapolis",116,"mais de duas horas",117,"Gasolina",58.5,0,1,1,5.87,686.79,686.79
"20",20,"Feminino","19 a 35 anos","Ensino completo","acima de 1 ate 3",1,"Silvania",35,"mais de duas horas",15.8,"Diesel",8,0,0,1,6.18,97.644,97.644
"21",21,"Feminino","19 a 35 anos","Ensino completo","ate 1",2,"Silvania",30,"mais de uma hora a duas horas",15.8,"Álcool",8,0,0,1,3.65,57.67,57.67
"22",22,"Masculino","19 a 35 anos","Graduacao incompleta","acima de 1 ate 3",2,"Silvania",68,"mais de uma hora a duas horas",15.8,"Gasolina",8,0,0,1,5.87,92.746,92.746
"23",23,"Feminino","19 a 35 anos","Ensino medio incompleto","acima de 1 ate 3",2,"Silvania",30,"mais de uma hora a duas horas",15.8,"Gasolina",8,0,0,1,5.87,92.746,92.746
"24",24,"Feminino","19 a 35 anos","Ensino completo","acima de 3 ate 5",1,"Silvania",32,"ate meia hora",15.8,"Gasolina",8,1,0,1,5.87,92.746,92.746
"25",25,"Feminino","19 a 35 anos","Mestrado incompleto","acima de 1 ate 3",6,"Goiania",180,"mais de duas horas",146.2,"Gasolina",73.1,0,1,1,5.87,858.194,858.194
"26",26,"Feminino","19 a 35 anos","Graduacao completa","acima de 1 ate 3",1,"Anapolis",116,"mais de duas horas",117,"Gasolina",58.5,0,1,1,5.87,686.79,686.79
