id,idx,sex,age,schooling,income,visitation,start,deslocation_time,permanence,fuel_consumption,vehicle_with_engine,distance,age_dummy,schooling_dummy,years_dummy,fuel_price,fuel_cost,travel_cost,start_clean,distance_fixed,income_mid,travel_cost_new,age_old_dummy,schooling_below_dummy,income_dummy,sex_dummy
1,1,Feminino,60 anos ou mais,Doutorado,acima de 5,1,Anapolis,120,mais de duas horas,117,Álcool,58.5,1,1,0,3.65,427.05,427.05,Anapolis,58.5,1818,35.25422727272728,1,0,0,1
2,2,Masculino,19 a 35 anos,Graduacao incompleta,acima de 1 ate 3,1,Gameleira de Goias,64,ate meia hora,60,Gasolina,27.5,0,0,1,5.87,352.2,352.2,Gameleira de Goias,27.5,485,14.90625,0,1,1,0
3,3,Masculino,19 a 35 anos,Graduacao incompleta,acima de 3 ate 5,2,Silvania,180,mais de duas horas,15.8,Gasolina,8,1,0,1,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,0,1,0,0
4,4,Feminino,19 a 35 anos,Graduacao incompleta,acima de 1 ate 3,1,Silvania,180,mais de duas horas,15.8,Gasolina,8,0,0,1,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,0,1,1,1
5,5,Feminino,36 a 59 anos,Doutorado,acima de 5,2,Anapolis,116,mais de duas horas,117,Diesel,58.5,1,1,0,6.18,723.06,723.06,Anapolis,58.5,1818,35.25422727272728,1,0,0,1
6,6,Masculino,19 a 35 anos,Doutorado incompleto,acima de 3 ate 5,1,Silvania,32,mais de duas horas,15.8,Álcool,8,1,1,1,3.65,57.67,57.67,Silvania,8,970,4.512727272727273,0,0,0,0
7,7,Masculino,19 a 35 anos,Mestrado incompleto,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Diesel,58.5,0,1,1,6.18,723.06,723.06,Anapolis,58.5,485,31.709659090909092,0,0,1,0
8,8,Masculino,19 a 35 anos,Doutorado,acima de 5,1,Silvania,32,mais de duas horas,15.8,Álcool,8,1,1,1,3.65,57.67,57.67,Silvania,8,1818,4.821090909090909,0,0,0,0
9,9,Feminino,36 a 59 anos,Doutorado,acima de 5,1,Anapolis,116,mais de duas horas,117,Álcool,58.5,1,1,0,3.65,427.05,427.05,Anapolis,58.5,1818,35.25422727272728,1,0,0,1
10,10,Masculino,19 a 35 anos,Doutorado incompleto,acima de 1 ate 3,1,Silvania,32,mais de duas horas,15.8,Gasolina,8,0,1,1,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,0,0,1,0
11,11,Feminino,19 a 35 anos,Mestre,acima de 1 ate 3,1,Anapolis,116,mais de duas horas,117,Gasolina,58.5,0,1,1,5.87,686.79,686.79,Anapolis,58.5,485,31.709659090909092,0,0,1,1
12,12,Masculino,36 a 59 anos,Especializacao completa,acima de 3 ate 5,1,Silvania,32,mais de uma hora a duas horas,15.8,Gasolina,8,1,1,0,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,1,0,0,0
13,13,Feminino,19 a 35 anos,Ensino completo,ate 1,1,Silvania,32,mais de uma hora a duas horas,15.8,Gasolina,8,0,0,1,5.87,92.746,92.746,Silvania,8,121,4.204,0,1,1,1
14,14,Masculino,19 a 35 anos,Ensino medio incompleto,acima de 3 ate 5,2,Silvania,32,mais de duas horas,15.8,Gasolina,8,1,0,1,5.87,92.746,92.746,Silvania,8,970,4.512727272727273,0,1,0,0
15,15,Masculino,19 a 35 anos,Graduacao incompleta,acima de 1 ate 3,2,Silvania,68,mais de meia hora ate uma hora,15.8,Gasolina,8,0,0,1,5.87,92.746,92.746,Silvania,8,485,4.336363636363637,0,1,1,0
